Site_Name,Site_Fixed,Region
NY Amityville Staff: 134S,Amityville,Suffolk
NY Astoria Staff: 128S,Astoria,NYC
NY Bay Shore Staff: 106S,Bay Shore,Suffolk
NY Bayside Staff: 127S,Bayside,NYC
NY Bellmore Staff: 127S,Bellmore,Nassau
NY Bridgehampton Staff: 148S,Bridgehampton,Suffolk
NY Bullshead Staff: 146S,Bullshead,NYC
NY Chelsea Staff: 131S,Chelsea,NYC
NY Dobbs Ferry Staff: 136S,Dobbs Ferry,Westchester
NY Commack Staff: 133S,Commack,Suffolk
NY Dongan Hills Staff: 111S,Dongan Hills,NYC
NY E. 81st Staff: 124S,E. 81st,NYC
NY East Northport PEDS: 104,East Northport,Suffolk
NY Eltingville Staff: 152S,Eltingville,NYC
NY Elwood Staff: 103S,Elwood,Suffolk
NY Forest Hills Staff 101S,Forest Hills,NYC
NY Glen Cove Staff: 160S,Glen Cove,Nassau
NY Great Kills Staff: 109S,Great Kills,NYC
NY Great Neck Staff: 144S,Great Neck,Nassau
NY Greenvale Staff: 141S,Greenvale,Nassau
NY Greenwich Village Staff: 125S,Greenwich Village,NYC
NY Hampton Bays Staff: 126S,Hampton Bays,Suffolk
NY Hewlet PEDS: 155,Hewlet,Nassau
NY Huntington Staff: 161S,Huntington,Suffolk
NY Huntington Station Staff: 126S,Huntington Station,Suffolk
NY Lake Grove Staff: 142S,Lake Grove,Suffolk
NY LeFrak Staff: 108S,LeFrak,NYC
NY Levittown Staff: 120S,Levittown,Nassau
NY Lynbrook Staff: 130S,Lynbrook,Nassau
NY Massapequa Staff: 102S,Massapequa,Nassau
NY Mineola Staff: 138S,Mineola,Nassau
NY New Dorp Staff: 110S,New Dorp,NYC
NY New Rochelle Staff: 121S,New Rochelle,Westchester
NY Oceanside Staff: 151S,Oceanside,Nassau
NY Park Slope Staff: 145S,Park Slope,NYC
NY Plainview Staff: 105S,Plainview,Nassau
NY Port Jefferson Staff: 601S,Port Jefferson,Suffolk
NY Port Washington Staff: 143S,Port Washington,Nassau
NY Ridgewood Staff: 113S,Ridgewood,NYC
NY Riverhead Staff: 147S,Riverhead,Suffolk
NY Rockville Center Staff: 112S,Rockville Center,Nassau
NY Roslyn Staff: 119S,Roslyn,Nassau
NY Sayville Staff: 157S,Sayville,Suffolk
NY Smithtown Staff: 135S,Smithtown,Suffolk
NY Syosset Staff: 107S,Syosset,Nassau
NY Tarrytown Staff: 123S,Tarrytown,Westchester
NY W. 100th Staff: 129S,W. 100th,NYC
NY W. 69th Staff: 118S,W. 69th,NYC
NY West Hempstead Staff: 600S,West Hempstead,Nassau
NY West Islip Staff: 114S,West Islip,Suffolk
NY Williamsburg Staff: 137S,Williamsburg,NYC
NY Yorktown Heights Staff: 122S,Yorktown Heights,Westchester
